,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[56],-0.107,0.1,-0.27,0.058,0.001,0.001,10795.0,6239.0,1.0
mu[57],-0.635,0.186,-0.928,-0.319,0.001,0.001,15696.0,6330.0,1.0
mu[58],-0.738,0.148,-0.983,-0.501,0.002,0.001,9540.0,5258.0,1.0
mu[59],-0.864,0.135,-1.096,-0.657,0.001,0.001,10597.0,5055.0,1.0
mu[60],-0.563,0.092,-0.716,-0.415,0.001,0.001,13312.0,5968.0,1.0
mu[61],-0.791,0.151,-1.045,-0.546,0.001,0.001,11973.0,5125.0,1.0
mu[62],-0.53,0.122,-0.733,-0.332,0.001,0.001,16440.0,6075.0,1.0
mu[63],-0.547,0.181,-0.858,-0.265,0.002,0.001,9751.0,6409.0,1.0
mu[64],-0.409,0.091,-0.56,-0.261,0.001,0.001,16204.0,6396.0,1.0
mu[65],-0.344,0.207,-0.681,-0.004,0.002,0.001,14697.0,5579.0,1.0
mu[66],0.027,0.165,-0.24,0.295,0.002,0.002,11522.0,5379.0,1.0
mu[67],-0.859,0.145,-1.091,-0.617,0.001,0.001,13177.0,5502.0,1.0
mu[68],-0.615,0.184,-0.925,-0.329,0.002,0.001,10156.0,6827.0,1.0
mu[69],-0.791,0.203,-1.113,-0.447,0.002,0.001,11590.0,7165.0,1.0
mu[70],-0.828,0.194,-1.133,-0.496,0.001,0.001,17105.0,6350.0,1.0
mu[71],-0.762,0.194,-1.076,-0.433,0.002,0.001,11832.0,6659.0,1.0
mu[72],-0.893,0.262,-1.34,-0.48,0.002,0.002,15735.0,5911.0,1.0
mu[73],-0.559,0.199,-0.909,-0.256,0.002,0.001,9900.0,6687.0,1.0
mu[74],-0.907,0.226,-1.276,-0.536,0.002,0.001,13928.0,6874.0,1.0
mu[75],-0.609,0.121,-0.803,-0.402,0.001,0.001,9973.0,6974.0,1.0
mu[76],-0.614,0.149,-0.859,-0.371,0.001,0.001,14122.0,5593.0,1.0
mu[77],0.305,0.237,-0.088,0.686,0.002,0.002,12375.0,6493.0,1.0
mu[78],-0.723,0.231,-1.108,-0.354,0.002,0.002,13570.0,5761.0,1.0
mu[79],-0.545,0.19,-0.859,-0.237,0.002,0.001,10360.0,6937.0,1.0
mu[80],-0.572,0.231,-0.958,-0.197,0.002,0.002,12188.0,6938.0,1.0
mu[81],-0.751,0.219,-1.118,-0.397,0.002,0.001,18113.0,5969.0,1.0
mu[82],-0.95,0.23,-1.319,-0.565,0.002,0.001,13380.0,5535.0,1.0
mu[83],-0.565,0.2,-0.9,-0.243,0.002,0.001,11710.0,7035.0,1.0
mu[84],-0.342,0.212,-0.715,-0.018,0.002,0.002,10801.0,7101.0,1.0
mu[85],-0.688,0.256,-1.133,-0.293,0.002,0.002,14643.0,6317.0,1.0
mu[86],-0.416,0.078,-0.544,-0.287,0.001,0.001,9677.0,7046.0,1.0
mu[87],-0.576,0.147,-0.804,-0.322,0.001,0.001,14188.0,5868.0,1.0
mu[88],0.212,0.212,-0.146,0.544,0.002,0.002,12334.0,7101.0,1.0
mu[89],-1.098,0.233,-1.485,-0.723,0.002,0.001,13339.0,5622.0,1.0
mu[90],-0.641,0.182,-0.938,-0.347,0.002,0.001,10080.0,6726.0,1.0
mu[91],-0.732,0.209,-1.072,-0.384,0.002,0.001,11766.0,6969.0,1.0
mu[92],-0.834,0.192,-1.133,-0.503,0.001,0.001,17016.0,6345.0,1.0
mu[93],-0.735,0.195,-1.047,-0.404,0.002,0.001,11808.0,6721.0,1.0
mu[94],-0.873,0.263,-1.28,-0.417,0.002,0.002,15670.0,5853.0,1.0
mu[95],-0.499,0.2,-0.846,-0.188,0.002,0.001,10144.0,6876.0,1.0
mu[96],-0.815,0.236,-1.219,-0.447,0.002,0.001,14238.0,6998.0,1.0
mu[97],-0.043,0.105,-0.222,0.121,0.001,0.001,11051.0,5685.0,1.0
mu[98],-0.71,0.276,-1.16,-0.257,0.002,0.002,15146.0,5645.0,1.0
mu[99],0.219,0.214,-0.128,0.569,0.002,0.002,12348.0,7202.0,1.0
mu[100],-0.651,0.131,-0.855,-0.419,0.001,0.001,9994.0,7138.0,1.0
mu[101],-0.621,0.189,-0.932,-0.308,0.002,0.001,14398.0,6209.0,1.0
mu[102],-0.495,0.105,-0.664,-0.322,0.001,0.001,10120.0,6875.0,1.0
mu[103],-0.752,0.116,-0.942,-0.562,0.001,0.001,10318.0,6183.0,1.0
mu[104],-1.277,0.209,-1.617,-0.932,0.002,0.001,13438.0,6255.0,1.0
mu[105],-0.431,0.152,-0.681,-0.187,0.001,0.001,11478.0,6072.0,1.0
mu[106],-0.613,0.148,-0.855,-0.369,0.001,0.001,16280.0,6390.0,1.0
mu[107],-0.53,0.142,-0.763,-0.3,0.001,0.001,10025.0,5538.0,1.0
mu[108],-0.882,0.147,-1.121,-0.642,0.001,0.001,12641.0,5579.0,1.0
mu[109],-0.468,0.136,-0.701,-0.256,0.001,0.001,9460.0,6157.0,1.0
mu[110],-0.654,0.19,-0.973,-0.349,0.002,0.001,14370.0,6219.0,1.0
mu[111],-0.032,0.101,-0.199,0.131,0.001,0.001,11082.0,5638.0,1.0
mu[112],-0.828,0.142,-1.057,-0.592,0.001,0.001,13164.0,5436.0,1.0
mu[113],-0.499,0.106,-0.67,-0.324,0.001,0.001,10125.0,6922.0,1.0
mu[114],-1.114,0.181,-1.422,-0.829,0.002,0.001,13884.0,5966.0,1.0
mu[115],-0.472,0.162,-0.742,-0.215,0.002,0.001,11454.0,6185.0,1.0
mu[116],-0.786,0.122,-0.993,-0.594,0.001,0.001,10755.0,6325.0,1.0
mu[117],-0.559,0.15,-0.806,-0.315,0.001,0.001,10057.0,5621.0,1.0
mu[118],-0.539,0.135,-0.772,-0.328,0.001,0.001,9058.0,5831.0,1.0
mu[119],-0.704,0.126,-0.905,-0.488,0.001,0.001,12676.0,5776.0,1.0
mu[120],-0.514,0.137,-0.74,-0.291,0.001,0.001,10014.0,5538.0,1.0
mu[121],-0.398,0.086,-0.537,-0.253,0.001,0.0,16456.0,5976.0,1.0
mu[122],-0.516,0.119,-0.719,-0.328,0.001,0.001,16422.0,6028.0,1.0
mu[123],-0.962,0.193,-1.274,-0.644,0.002,0.001,16010.0,6714.0,1.0
mu[124],-0.698,0.108,-0.877,-0.526,0.001,0.001,10234.0,5544.0,1.0
mu[125],-0.433,0.153,-0.684,-0.188,0.001,0.001,11478.0,6072.0,1.0
mu[126],-0.736,0.136,-0.954,-0.512,0.001,0.001,13149.0,5676.0,1.0
mu[127],-0.046,0.107,-0.232,0.116,0.001,0.001,11031.0,5552.0,1.0
mu[128],-0.612,0.189,-0.918,-0.295,0.002,0.001,14414.0,6210.0,1.0
mu[129],-0.528,0.135,-0.76,-0.316,0.001,0.001,9075.0,5866.0,1.0
mu[130],-0.783,0.132,-0.994,-0.557,0.001,0.001,12424.0,5610.0,1.0
mu[131],-0.447,0.092,-0.603,-0.303,0.001,0.001,10026.0,6674.0,1.0
mu[132],-0.624,0.178,-0.923,-0.343,0.002,0.001,8825.0,5785.0,1.0
mu[133],-0.851,0.186,-1.153,-0.539,0.002,0.002,7825.0,5354.0,1.0
mu[134],-0.546,0.181,-0.841,-0.248,0.002,0.001,9172.0,5657.0,1.0
mu[135],-0.212,0.218,-0.578,0.141,0.002,0.002,9212.0,6917.0,1.0
mu[136],-0.271,0.217,-0.616,0.101,0.002,0.002,17160.0,5201.0,1.0
mu[137],-0.37,0.117,-0.551,-0.171,0.001,0.001,7971.0,4727.0,1.0
mu[138],-0.554,0.129,-0.765,-0.346,0.001,0.001,7904.0,3996.0,1.0
mu[139],-0.479,0.14,-0.705,-0.246,0.001,0.001,10816.0,7020.0,1.0
mu[140],-0.317,0.222,-0.665,0.066,0.002,0.002,16986.0,5788.0,1.0
mu[141],-0.526,0.169,-0.792,-0.236,0.002,0.001,7985.0,6353.0,1.0
mu[142],-0.429,0.148,-0.672,-0.184,0.001,0.001,18428.0,5794.0,1.0
mu[143],-0.531,0.169,-0.812,-0.259,0.002,0.001,8047.0,6210.0,1.0
mu[144],-0.425,0.18,-0.716,-0.125,0.002,0.001,9494.0,5370.0,1.0
mu[145],-0.685,0.193,-0.999,-0.363,0.002,0.001,10273.0,5368.0,1.0
mu[146],-0.509,0.18,-0.814,-0.221,0.001,0.001,18442.0,5923.0,1.0
mu[147],-0.794,0.204,-1.122,-0.452,0.002,0.001,10323.0,5211.0,1.0
mu[148],-0.39,0.235,-0.762,0.01,0.002,0.002,17261.0,5721.0,1.0
mu[149],-0.51,0.15,-0.758,-0.267,0.001,0.001,10850.0,6924.0,1.0
mu[150],-0.83,0.209,-1.176,-0.492,0.002,0.002,10341.0,5073.0,1.0
mu[151],-0.554,0.129,-0.765,-0.346,0.001,0.001,7904.0,3996.0,1.0
mu[152],-0.663,0.176,-0.956,-0.378,0.002,0.001,8678.0,5573.0,1.0
mu[153],-0.264,0.208,-0.591,0.096,0.002,0.002,17118.0,5331.0,1.0
mu[154],-0.267,0.215,-0.614,0.096,0.002,0.002,9007.0,6321.0,1.0
mu[155],-0.526,0.18,-0.821,-0.231,0.002,0.001,9220.0,5451.0,1.0
mu[156],-0.739,0.176,-1.034,-0.45,0.002,0.001,7777.0,5413.0,1.0
mu[157],-0.573,0.205,-0.905,-0.228,0.002,0.001,18423.0,5925.0,1.0
mu[158],-0.598,0.167,-0.885,-0.333,0.002,0.001,7783.0,5785.0,1.0
mu[159],-0.412,0.24,-0.822,-0.036,0.002,0.002,17310.0,5763.0,1.0
mu[160],-0.515,0.151,-0.766,-0.27,0.001,0.001,10857.0,6924.0,1.0
mu[161],-0.146,0.222,-0.517,0.215,0.002,0.002,9465.0,7162.0,1.0
mu[162],-0.686,0.168,-0.955,-0.399,0.002,0.001,7617.0,5565.0,1.0
mu[163],-0.711,0.155,-0.966,-0.456,0.002,0.001,8205.0,5087.0,1.0
mu[164],-0.54,0.128,-0.744,-0.321,0.001,0.001,7620.0,5317.0,1.0
mu[165],-0.569,0.16,-0.811,-0.293,0.001,0.001,11580.0,7134.0,1.0
mu[166],-0.007,0.114,-0.197,0.175,0.001,0.002,18476.0,5545.0,1.0
mu[167],-0.524,0.147,-0.756,-0.27,0.002,0.001,8867.0,5851.0,1.0
mu[168],-0.441,0.116,-0.618,-0.24,0.001,0.001,9343.0,6308.0,1.0
mu[169],-0.313,0.126,-0.519,-0.111,0.001,0.001,8328.0,6387.0,1.0
mu[170],-0.693,0.22,-1.057,-0.331,0.002,0.001,16403.0,5947.0,1.0
mu[171],-0.626,0.133,-0.846,-0.409,0.002,0.001,7530.0,4916.0,1.0
mu[172],-0.235,0.126,-0.442,-0.024,0.001,0.001,15482.0,6255.0,1.0
mu[173],-0.412,0.161,-0.683,-0.151,0.002,0.001,8866.0,5415.0,1.0
mu[174],-0.282,0.076,-0.41,-0.162,0.001,0.001,11255.0,7248.0,1.0
mu[175],-0.652,0.158,-0.897,-0.382,0.002,0.001,7860.0,4202.0,1.0
mu[176],-0.815,0.16,-1.073,-0.552,0.002,0.001,7998.0,4783.0,1.0
mu[177],0.011,0.086,-0.129,0.154,0.001,0.001,18565.0,5746.0,1.0
mu[178],-0.362,0.113,-0.553,-0.18,0.001,0.001,8429.0,5125.0,1.0
mu[179],-0.381,0.1,-0.547,-0.22,0.001,0.001,9121.0,6032.0,1.0
mu[180],-0.236,0.131,-0.446,-0.019,0.001,0.001,8782.0,6711.0,1.0
mu[181],-0.663,0.221,-1.034,-0.304,0.002,0.001,16404.0,6269.0,1.0
mu[182],-0.195,0.115,-0.388,-0.005,0.001,0.001,15155.0,6302.0,1.0
mu[183],-0.344,0.159,-0.605,-0.079,0.002,0.001,9159.0,5816.0,1.0
mu[184],-0.268,0.072,-0.389,-0.154,0.001,0.0,11193.0,7153.0,1.0
mu[185],-0.407,0.147,-0.642,-0.161,0.002,0.001,8092.0,4847.0,1.0
mu[186],-0.591,0.156,-0.844,-0.333,0.002,0.001,8653.0,5533.0,1.0
mu[187],-0.003,0.107,-0.18,0.172,0.001,0.001,18503.0,5609.0,1.0
mu[188],-0.394,0.119,-0.59,-0.198,0.001,0.001,8503.0,5157.0,1.0
mu[189],-0.503,0.134,-0.716,-0.279,0.001,0.001,9581.0,6670.0,1.0
mu[190],-0.575,0.131,-0.789,-0.356,0.001,0.001,7798.0,5484.0,1.0
mu[191],-0.831,0.223,-1.201,-0.464,0.002,0.001,16501.0,5443.0,1.0
mu[192],-0.655,0.136,-0.876,-0.429,0.002,0.001,7527.0,4955.0,1.0
mu[193],-0.356,0.163,-0.628,-0.09,0.001,0.001,16062.0,6694.0,1.0
mu[194],-0.347,0.159,-0.607,-0.082,0.002,0.001,9144.0,5794.0,1.0
mu[195],-0.397,0.147,-0.639,-0.158,0.002,0.001,8113.0,4927.0,1.0
mu[196],-0.755,0.175,-1.042,-0.469,0.002,0.001,8352.0,5287.0,1.0
mu[197],-0.237,0.17,-0.504,0.054,0.001,0.001,16890.0,5485.0,1.0
mu[198],-0.389,0.117,-0.583,-0.195,0.001,0.001,8498.0,5173.0,1.0
mu[199],-0.414,0.179,-0.729,-0.138,0.002,0.001,9520.0,5427.0,1.0
mu[200],-0.381,0.1,-0.552,-0.22,0.001,0.001,7842.0,5609.0,1.0
mu[201],-0.46,0.156,-0.713,-0.2,0.001,0.001,16387.0,6118.0,1.0
mu[202],-0.586,0.126,-0.794,-0.381,0.001,0.001,7545.0,4909.0,1.0
mu[203],-0.184,0.1,-0.35,-0.021,0.001,0.001,17280.0,5499.0,1.0
mu[204],-0.418,0.153,-0.675,-0.168,0.002,0.001,8779.0,5429.0,1.0
mu[205],-0.275,0.141,-0.506,-0.041,0.001,0.001,10532.0,6435.0,1.0
mu[206],-0.481,0.164,-0.751,-0.213,0.002,0.001,8039.0,4626.0,1.0
mu[207],-0.635,0.111,-0.817,-0.454,0.001,0.001,8248.0,5354.0,1.0
mu[208],0.398,0.245,0.007,0.809,0.002,0.002,18163.0,5398.0,1.0
mu[209],-0.183,0.106,-0.354,-0.01,0.001,0.001,8640.0,5581.0,1.0
mu[210],-0.369,0.182,-0.681,-0.085,0.002,0.001,9648.0,6097.0,1.0
mu[211],-0.05,0.123,-0.262,0.141,0.001,0.001,9194.0,6502.0,1.0
mu[212],-0.347,0.169,-0.633,-0.077,0.001,0.001,16455.0,6124.0,1.0
mu[213],-0.305,0.113,-0.485,-0.114,0.001,0.001,8323.0,5159.0,1.0
mu[214],-0.374,0.122,-0.565,-0.165,0.001,0.001,8027.0,6554.0,1.0
mu[215],-0.288,0.151,-0.541,-0.041,0.002,0.001,9362.0,6236.0,1.0
mu[216],-0.028,0.174,-0.308,0.262,0.002,0.002,10961.0,6578.0,1.0
mu[217],-0.296,0.169,-0.571,-0.022,0.002,0.001,8565.0,5402.0,1.0
mu[218],-0.617,0.108,-0.789,-0.437,0.001,0.001,8191.0,5308.0,1.0
mu[219],0.369,0.251,-0.051,0.77,0.002,0.002,18244.0,5554.0,1.0
mu[220],-0.378,0.123,-0.578,-0.174,0.001,0.001,8364.0,5204.0,1.0
mu[221],-0.316,0.187,-0.621,-0.01,0.002,0.001,9813.0,6262.0,1.0
mu[222],-0.241,0.102,-0.411,-0.078,0.001,0.001,8359.0,6238.0,1.0
mu[223],-0.434,0.158,-0.692,-0.173,0.001,0.001,16393.0,6247.0,1.0
mu[224],-0.505,0.121,-0.698,-0.298,0.001,0.001,7638.0,5376.0,1.0
mu[225],-0.147,0.093,-0.298,0.007,0.001,0.001,16811.0,5884.0,1.0
mu[226],-0.432,0.154,-0.695,-0.186,0.002,0.001,8733.0,5292.0,1.0
mu[227],-0.148,0.155,-0.405,0.107,0.001,0.001,10762.0,6568.0,1.0
mu[228],-0.421,0.165,-0.69,-0.154,0.002,0.001,8170.0,4968.0,1.0
mu[229],-0.043,0.083,-0.175,0.098,0.001,0.001,14942.0,6525.0,1.0
mu[230],0.364,0.253,-0.069,0.759,0.002,0.002,18221.0,5540.0,1.0
mu[231],-0.958,0.179,-1.244,-0.653,0.002,0.001,9142.0,5983.0,1.0
mu[232],-0.54,0.13,-0.754,-0.33,0.001,0.001,8416.0,5378.0,1.0
mu[233],-0.441,0.12,-0.636,-0.245,0.001,0.001,9789.0,6736.0,1.0
mu[234],-0.508,0.156,-0.762,-0.252,0.002,0.001,7998.0,5990.0,1.0
mu[235],-0.668,0.197,-1.008,-0.356,0.001,0.001,18351.0,6024.0,1.0
mu[236],-0.526,0.128,-0.728,-0.305,0.001,0.001,7648.0,5328.0,1.0
mu[237],-0.436,0.197,-0.752,-0.103,0.002,0.001,16099.0,6964.0,1.0
mu[238],-0.333,0.172,-0.621,-0.052,0.002,0.001,9351.0,6210.0,1.0
mu[239],-0.577,0.157,-0.839,-0.318,0.002,0.001,10344.0,5367.0,1.0
mu[240],-0.364,0.138,-0.583,-0.133,0.002,0.001,8134.0,4872.0,1.0
mu[241],-0.516,0.13,-0.727,-0.302,0.001,0.001,8522.0,5415.0,1.0
mu[242],-0.009,0.104,-0.184,0.155,0.001,0.001,18482.0,5634.0,1.0
mu[243],-0.351,0.11,-0.536,-0.171,0.001,0.001,8413.0,5241.0,1.0
mu[244],-0.43,0.117,-0.615,-0.235,0.001,0.001,9747.0,6735.0,1.0
mu[245],-0.542,0.156,-0.811,-0.299,0.002,0.001,7928.0,5908.0,1.0
mu[246],-0.435,0.112,-0.614,-0.247,0.001,0.001,18028.0,5395.0,1.0
mu[247],-0.535,0.128,-0.739,-0.315,0.001,0.001,7630.0,5319.0,1.0
mu[248],-0.023,0.125,-0.236,0.174,0.001,0.002,18331.0,5518.0,1.0
mu[249],-0.342,0.172,-0.621,-0.053,0.002,0.001,9305.0,6196.0,1.0
mu[250],-0.367,0.175,-0.642,-0.066,0.001,0.001,15935.0,6666.0,1.0
mu[251],-0.425,0.138,-0.633,-0.183,0.002,0.001,7996.0,4598.0,1.0
mu[252],-0.371,0.151,-0.62,-0.122,0.001,0.001,10426.0,6048.0,1.0
mu[253],-0.334,0.172,-0.619,-0.05,0.002,0.001,9346.0,6220.0,1.0
mu[254],-0.494,0.128,-0.717,-0.294,0.001,0.001,7711.0,5585.0,1.0
mu[255],-0.266,0.069,-0.379,-0.151,0.001,0.0,15942.0,5455.0,1.0
mu[256],-0.276,0.147,-0.528,-0.04,0.001,0.001,15584.0,6241.0,1.0
mu[257],-0.402,0.108,-0.579,-0.227,0.001,0.001,9621.0,6729.0,1.0
mu[258],-0.278,0.1,-0.442,-0.115,0.001,0.001,8318.0,5263.0,1.0
mu[259],-0.012,0.108,-0.193,0.161,0.001,0.001,18458.0,5581.0,1.0
mu[260],-0.484,0.131,-0.695,-0.267,0.001,0.001,8681.0,5743.0,1.0
mu[261],-0.365,0.138,-0.583,-0.134,0.002,0.001,8131.0,4919.0,1.0
mu[262],-0.458,0.151,-0.71,-0.214,0.001,0.001,10356.0,5790.0,1.0
mu[263],-0.415,0.158,-0.675,-0.163,0.002,0.001,8265.0,6319.0,1.0
mu[264],-0.392,0.112,-0.59,-0.22,0.001,0.001,12317.0,7080.0,1.0
mu[265],0.988,0.154,0.734,1.24,0.002,0.001,9786.0,6600.0,1.0
mu[266],-0.239,0.161,-0.497,0.029,0.001,0.001,18358.0,5560.0,1.0
mu[267],0.092,0.189,-0.218,0.404,0.002,0.002,11376.0,5682.0,1.0
mu[268],-0.246,0.213,-0.6,0.097,0.002,0.002,15241.0,6320.0,1.0
mu[269],-0.673,0.173,-0.951,-0.392,0.001,0.001,17796.0,5455.0,1.0
mu[270],0.772,0.126,0.561,0.973,0.001,0.001,9926.0,6876.0,1.0
mu[271],-0.315,0.197,-0.627,0.022,0.001,0.001,18110.0,5774.0,1.0
mu[272],-0.349,0.127,-0.536,-0.12,0.001,0.001,14553.0,6584.0,1.0
mu[273],-0.99,0.184,-1.283,-0.677,0.002,0.001,8815.0,5386.0,1.0
mu[274],0.203,0.196,-0.12,0.522,0.002,0.002,9862.0,5639.0,1.0
mu[275],0.124,0.209,-0.204,0.487,0.002,0.002,9433.0,4812.0,1.0
mu[276],-0.277,0.123,-0.485,-0.079,0.001,0.001,18628.0,6151.0,1.0
mu[277],-1.128,0.197,-1.457,-0.805,0.002,0.001,8883.0,5406.0,1.0
mu[278],0.059,0.175,-0.233,0.341,0.002,0.002,11425.0,5734.0,1.0
mu[279],-0.411,0.224,-0.776,-0.039,0.002,0.001,18124.0,6021.0,1.0
mu[280],-0.452,0.131,-0.677,-0.246,0.001,0.001,12305.0,7031.0,1.0
mu[281],-0.779,0.196,-1.103,-0.471,0.001,0.001,17511.0,5850.0,1.0
mu[282],-0.264,0.119,-0.454,-0.064,0.001,0.001,18679.0,6095.0,1.0
mu[283],-0.4,0.221,-0.757,-0.03,0.002,0.001,18135.0,5953.0,1.0
mu[284],-0.359,0.13,-0.557,-0.13,0.001,0.001,14552.0,6555.0,1.0
mu[285],-1.136,0.198,-1.465,-0.81,0.002,0.002,8891.0,5418.0,1.0
mu[286],-0.418,0.15,-0.648,-0.157,0.001,0.001,14519.0,6678.0,1.0
mu[287],0.153,0.203,-0.169,0.5,0.002,0.002,9545.0,4955.0,1.0
mu[288],-0.246,0.165,-0.51,0.027,0.001,0.001,18356.0,5601.0,1.0
mu[289],-0.203,0.144,-0.432,0.036,0.001,0.001,18387.0,5434.0,1.0
mu[290],-0.279,0.22,-0.646,0.075,0.002,0.002,15265.0,6373.0,1.0
mu[291],-0.481,0.14,-0.723,-0.26,0.001,0.001,12291.0,7044.0,1.0
mu[292],-0.818,0.204,-1.149,-0.49,0.002,0.001,17420.0,5779.0,1.0
mu[293],-0.292,0.129,-0.509,-0.083,0.001,0.001,18563.0,6226.0,1.0
mu[294],0.899,0.142,0.663,1.13,0.001,0.001,9830.0,6664.0,1.0
mu[295],-0.034,0.142,-0.263,0.2,0.001,0.002,11750.0,5484.0,1.0
mu[296],-0.533,0.092,-0.679,-0.378,0.001,0.001,8985.0,5632.0,1.0
mu[297],-0.418,0.126,-0.634,-0.218,0.001,0.001,12377.0,6776.0,1.0
mu[298],-0.32,0.229,-0.679,0.071,0.002,0.002,15285.0,6266.0,1.0
mu[299],-0.243,0.215,-0.589,0.109,0.002,0.002,18658.0,5969.0,1.0
mu[300],1.274,0.243,0.867,1.661,0.002,0.001,13843.0,5923.0,1.0
mu[301],-0.075,0.09,-0.227,0.069,0.001,0.001,9736.0,6528.0,1.0
mu[302],-0.019,0.096,-0.173,0.143,0.001,0.001,11229.0,6484.0,1.0
mu[303],-0.513,0.177,-0.808,-0.23,0.001,0.001,14675.0,6528.0,1.0
mu[304],-0.216,0.075,-0.339,-0.095,0.001,0.0,16750.0,6052.0,1.0
mu[305],-0.336,0.134,-0.556,-0.116,0.001,0.001,18226.0,5903.0,1.0
mu[306],-0.263,0.231,-0.648,0.111,0.002,0.002,17175.0,5671.0,1.0
mu[307],-0.554,0.169,-0.838,-0.279,0.002,0.001,12288.0,6824.0,1.0
mu[308],-0.595,0.144,-0.832,-0.363,0.001,0.001,16675.0,5589.0,1.0
mu[309],0.443,0.192,0.134,0.763,0.002,0.001,14569.0,6216.0,1.0
mu[310],-0.183,0.194,-0.488,0.143,0.001,0.002,18895.0,6059.0,1.0
mu[311],1.176,0.235,0.79,1.557,0.002,0.001,14118.0,5721.0,1.0
mu[312],-0.392,0.096,-0.541,-0.226,0.001,0.001,17426.0,5438.0,1.0
mu[313],-0.048,0.074,-0.171,0.075,0.001,0.001,9511.0,6550.0,1.0
mu[314],-0.466,0.161,-0.729,-0.203,0.001,0.001,14729.0,6471.0,1.0
mu[315],0.504,0.22,0.138,0.863,0.002,0.001,13967.0,6223.0,1.0
mu[316],-0.31,0.124,-0.521,-0.113,0.001,0.001,18273.0,5996.0,1.0
mu[317],-0.25,0.23,-0.629,0.127,0.002,0.002,17197.0,5758.0,1.0
mu[318],-0.451,0.136,-0.679,-0.229,0.001,0.001,12356.0,6761.0,1.0
mu[319],-0.458,0.111,-0.634,-0.273,0.001,0.001,17156.0,5471.0,1.0
mu[320],0.444,0.192,0.134,0.763,0.002,0.001,14567.0,6241.0,1.0
mu[321],-0.169,0.19,-0.467,0.149,0.001,0.002,18952.0,6033.0,1.0
mu[322],1.252,0.241,0.836,1.624,0.002,0.001,13899.0,5910.0,1.0
mu[323],-0.129,0.123,-0.334,0.072,0.001,0.001,10130.0,6869.0,1.0
mu[324],-0.475,0.164,-0.743,-0.207,0.001,0.001,14721.0,6556.0,1.0
mu[325],-0.259,0.088,-0.404,-0.117,0.001,0.001,17321.0,5987.0,1.0
mu[326],-0.288,0.115,-0.484,-0.105,0.001,0.001,18306.0,5997.0,1.0
mu[327],-0.423,0.245,-0.823,-0.018,0.002,0.002,16820.0,5319.0,1.0
mu[328],-0.035,0.094,-0.184,0.125,0.001,0.001,10822.0,6567.0,1.0
mu[329],-0.171,0.061,-0.27,-0.07,0.0,0.0,15627.0,6155.0,1.0
mu[330],-0.054,0.158,-0.307,0.21,0.001,0.002,11819.0,5626.0,1.0
mu[331],0.761,0.129,0.545,0.97,0.001,0.001,10112.0,6840.0,1.0
mu[332],-0.193,0.161,-0.47,0.059,0.002,0.001,11006.0,7044.0,1.0
mu[333],-0.024,0.185,-0.323,0.286,0.002,0.002,13597.0,6586.0,1.0
mu[334],-0.491,0.219,-0.856,-0.13,0.002,0.001,18095.0,5674.0,1.0
mu[335],-0.361,0.257,-0.79,0.055,0.002,0.002,19551.0,5564.0,1.0
mu[336],-0.309,0.171,-0.587,-0.032,0.001,0.001,18719.0,5328.0,1.0
mu[337],-0.664,0.196,-0.986,-0.339,0.002,0.001,11520.0,6315.0,1.0
mu[338],-0.637,0.195,-0.943,-0.298,0.001,0.001,17694.0,5575.0,1.0
mu[339],-0.299,0.178,-0.581,0.003,0.002,0.001,13582.0,6961.0,1.0
mu[340],-0.155,0.222,-0.513,0.213,0.002,0.002,20530.0,5519.0,1.0
mu[341],0.418,0.187,0.12,0.728,0.002,0.001,14350.0,6499.0,1.0
mu[342],0.384,0.214,0.031,0.738,0.002,0.002,11881.0,7047.0,1.0
mu[343],0.132,0.203,-0.188,0.484,0.002,0.002,11834.0,6043.0,1.0
mu[344],0.072,0.184,-0.228,0.379,0.002,0.002,13577.0,6735.0,1.0
mu[345],-0.306,0.249,-0.709,0.109,0.002,0.002,19659.0,5499.0,1.0
mu[346],-0.115,0.16,-0.368,0.154,0.001,0.002,18125.0,5855.0,1.0
mu[347],-0.583,0.195,-0.891,-0.252,0.002,0.001,11580.0,6634.0,1.0
mu[348],-0.667,0.198,-0.99,-0.334,0.001,0.001,17658.0,5637.0,1.0
mu[349],-0.217,0.175,-0.508,0.067,0.002,0.001,12959.0,6243.0,1.0
mu[350],-0.239,0.245,-0.647,0.15,0.002,0.002,20402.0,5691.0,1.0
mu[351],0.445,0.189,0.143,0.755,0.002,0.001,14210.0,6553.0,1.0
mu[352],0.328,0.199,-0.005,0.652,0.002,0.001,10997.0,6867.0,1.0
mu[353],-0.167,0.164,-0.446,0.091,0.002,0.001,11134.0,6946.0,1.0
mu[354],0.016,0.184,-0.294,0.312,0.002,0.002,13586.0,6698.0,1.0
mu[355],-0.478,0.219,-0.833,-0.11,0.002,0.001,18108.0,5530.0,1.0
mu[356],-0.385,0.261,-0.816,0.043,0.002,0.002,19498.0,5579.0,1.0
mu[357],-0.229,0.165,-0.503,0.037,0.001,0.001,18558.0,5501.0,1.0
mu[358],-0.665,0.196,-0.986,-0.34,0.002,0.001,11518.0,6315.0,1.0
mu[359],-0.796,0.215,-1.164,-0.453,0.002,0.001,17401.0,5620.0,1.0
mu[360],-0.202,0.13,-0.405,0.022,0.001,0.001,19486.0,5918.0,1.0
mu[361],0.298,0.194,-0.014,0.622,0.002,0.001,10731.0,6711.0,1.0
