,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b_z[Southern Asia, 2020, pos]",0.007,1.007,-1.632,1.682,0.008,0.013,17431.0,5936.0,1.0
"b_z[Southern Asia, 2021, pre]",0.001,1.001,-1.663,1.613,0.007,0.013,18880.0,5467.0,1.0
"b_z[Southern Asia, 2021, pan]",1.984,0.486,1.181,2.76,0.005,0.004,7941.0,6021.0,1.0
"b_z[Southern Asia, 2021, pos]",2.151,0.928,0.611,3.663,0.008,0.006,12029.0,6045.0,1.0
"b_z[Southern Asia, 2022, pre]",0.009,1.018,-1.701,1.619,0.007,0.013,19090.0,5963.0,1.0
"b_z[Southern Asia, 2022, pan]",-0.006,0.999,-1.646,1.643,0.008,0.014,16645.0,5096.0,1.0
"b_z[Southern Asia, 2022, pos]",-2.513,0.324,-3.039,-1.992,0.006,0.004,2722.0,4888.0,1.0
"b_z[Southern Asia, 2023, pre]",0.001,1.018,-1.655,1.691,0.007,0.013,22180.0,5557.0,1.0
"b_z[Southern Asia, 2023, pan]",0.007,1.003,-1.607,1.671,0.008,0.013,17767.0,5304.0,1.0
"b_z[Southern Asia, 2023, pos]",-0.596,0.503,-1.399,0.243,0.005,0.004,9781.0,6209.0,1.0
"b_z[Europe, 2017, pre]",0.936,0.305,0.435,1.428,0.004,0.003,5053.0,5457.0,1.0
"b_z[Europe, 2017, pan]",0.002,1.014,-1.621,1.721,0.007,0.014,19822.0,4863.0,1.0
"b_z[Europe, 2017, pos]",-0.003,0.995,-1.64,1.61,0.007,0.014,17674.0,4987.0,1.0
"b_z[Europe, 2018, pre]",0.072,0.402,-0.576,0.757,0.005,0.004,7896.0,6235.0,1.0
"b_z[Europe, 2018, pan]",-0.003,1.008,-1.616,1.709,0.008,0.013,17912.0,5688.0,1.0
"b_z[Europe, 2018, pos]",0.004,1.006,-1.589,1.691,0.008,0.014,17738.0,5277.0,1.0
"b_z[Europe, 2019, pre]",0.07,0.266,-0.386,0.486,0.004,0.003,5610.0,4974.0,1.0
"b_z[Europe, 2019, pan]",0.019,1.019,-1.59,1.713,0.007,0.013,21114.0,5588.0,1.0
"b_z[Europe, 2019, pos]",-0.001,0.994,-1.697,1.584,0.008,0.013,16036.0,5513.0,1.0
"b_z[Europe, 2020, pre]",-0.728,0.309,-1.212,-0.2,0.004,0.003,4868.0,5772.0,1.0
"b_z[Europe, 2020, pan]",-0.426,0.169,-0.7,-0.146,0.003,0.002,2414.0,4198.0,1.0
"b_z[Europe, 2020, pos]",-0.013,1.016,-1.637,1.709,0.007,0.014,18853.0,5704.0,1.0
"b_z[Europe, 2021, pre]",0.008,0.984,-1.573,1.646,0.007,0.013,17680.0,5852.0,1.0
"b_z[Europe, 2021, pan]",-0.529,0.318,-1.096,-0.04,0.004,0.003,5983.0,6102.0,1.0
"b_z[Europe, 2021, pos]",-0.984,0.614,-1.943,0.083,0.006,0.005,9324.0,6437.0,1.0
"b_z[Europe, 2022, pre]",-0.003,1.003,-1.673,1.604,0.007,0.014,19871.0,5956.0,1.0
"b_z[Europe, 2022, pan]",0.005,1.013,-1.684,1.643,0.007,0.013,20186.0,5790.0,1.0
"b_z[Europe, 2022, pos]",0.408,0.407,-0.268,1.056,0.004,0.004,9480.0,5643.0,1.0
"b_z[Europe, 2023, pre]",-0.002,1.023,-1.631,1.714,0.007,0.014,18845.0,5464.0,1.0
"b_z[Europe, 2023, pan]",0.004,1.0,-1.59,1.685,0.007,0.014,20245.0,5890.0,1.0
"b_z[Europe, 2023, pos]",1.49,0.631,0.451,2.49,0.005,0.004,14743.0,5269.0,1.0
"b_z[South-eastern Asia, 2017, pre]",0.037,0.37,-0.574,0.641,0.004,0.004,7455.0,5785.0,1.0
"b_z[South-eastern Asia, 2017, pan]",-0.001,1.002,-1.629,1.652,0.008,0.013,15515.0,5505.0,1.0
"b_z[South-eastern Asia, 2017, pos]",0.003,0.985,-1.627,1.58,0.007,0.013,20066.0,6093.0,1.0
"b_z[South-eastern Asia, 2018, pre]",-0.402,0.334,-0.942,0.146,0.005,0.003,5010.0,4970.0,1.0
"b_z[South-eastern Asia, 2018, pan]",-0.021,1.006,-1.711,1.622,0.007,0.014,20504.0,5700.0,1.0
"b_z[South-eastern Asia, 2018, pos]",-0.003,1.0,-1.599,1.673,0.007,0.013,17810.0,5474.0,1.0
"b_z[South-eastern Asia, 2019, pre]",0.327,0.365,-0.279,0.923,0.004,0.003,8375.0,6670.0,1.0
"b_z[South-eastern Asia, 2019, pan]",0.008,1.037,-1.715,1.723,0.007,0.014,19393.0,5667.0,1.0
"b_z[South-eastern Asia, 2019, pos]",-0.008,0.981,-1.669,1.566,0.007,0.013,19666.0,4769.0,1.0
"b_z[South-eastern Asia, 2020, pre]",0.059,0.852,-1.304,1.472,0.007,0.009,13015.0,6935.0,1.0
"b_z[South-eastern Asia, 2020, pan]",-0.52,0.357,-1.097,0.083,0.004,0.003,8693.0,5713.0,1.0
"b_z[South-eastern Asia, 2020, pos]",-0.008,1.005,-1.612,1.699,0.007,0.014,19193.0,5451.0,1.0
"b_z[South-eastern Asia, 2021, pre]",0.005,1.0,-1.625,1.696,0.008,0.013,17693.0,5696.0,1.0
"b_z[South-eastern Asia, 2021, pan]",-0.784,0.305,-1.263,-0.268,0.004,0.003,6285.0,5809.0,1.0
"b_z[South-eastern Asia, 2021, pos]",0.963,0.726,-0.215,2.184,0.006,0.005,15782.0,5811.0,1.0
"b_z[South-eastern Asia, 2022, pre]",0.002,1.016,-1.616,1.693,0.008,0.016,18226.0,4553.0,1.0
"b_z[South-eastern Asia, 2022, pan]",0.002,0.998,-1.625,1.655,0.008,0.015,17517.0,5183.0,1.0
"b_z[South-eastern Asia, 2022, pos]",0.125,0.434,-0.587,0.84,0.005,0.005,8585.0,6279.0,1.0
"b_z[South-eastern Asia, 2023, pre]",-0.003,1.004,-1.693,1.601,0.007,0.013,19100.0,5918.0,1.0
"b_z[South-eastern Asia, 2023, pan]",-0.006,0.999,-1.638,1.616,0.007,0.013,18129.0,5854.0,1.0
"b_z[South-eastern Asia, 2023, pos]",0.134,0.417,-0.554,0.807,0.004,0.005,11581.0,4986.0,1.0
"b_z[Africa, 2017, pre]",-0.373,0.344,-0.938,0.198,0.004,0.003,6437.0,5856.0,1.0
"b_z[Africa, 2017, pan]",0.003,0.993,-1.584,1.674,0.007,0.014,19529.0,5547.0,1.0
"b_z[Africa, 2017, pos]",0.002,1.004,-1.667,1.631,0.008,0.014,16847.0,5382.0,1.0
"b_z[Africa, 2018, pre]",-0.529,0.372,-1.14,0.082,0.004,0.003,8779.0,5514.0,1.0
"b_z[Africa, 2018, pan]",-0.007,0.986,-1.622,1.649,0.007,0.013,19242.0,5353.0,1.0
"b_z[Africa, 2018, pos]",0.011,1.002,-1.563,1.74,0.007,0.013,17867.0,5639.0,1.0
"b_z[Africa, 2019, pre]",0.536,0.25,0.136,0.953,0.004,0.003,4739.0,5615.0,1.0
"b_z[Africa, 2019, pan]",0.007,0.993,-1.564,1.68,0.007,0.013,19236.0,5674.0,1.0
"b_z[Africa, 2019, pos]",-0.01,1.005,-1.602,1.678,0.007,0.014,18110.0,5252.0,1.0
"b_z[Africa, 2020, pre]",1.048,0.4,0.389,1.694,0.005,0.004,6258.0,6002.0,1.0
"b_z[Africa, 2020, pan]",1.528,0.232,1.158,1.916,0.005,0.003,2424.0,4377.0,1.0
"b_z[Africa, 2020, pos]",-0.014,1.002,-1.676,1.613,0.008,0.013,16531.0,5767.0,1.0
"b_z[Africa, 2021, pre]",0.003,0.995,-1.61,1.68,0.008,0.013,17301.0,5925.0,1.0
"b_z[Africa, 2021, pan]",1.719,0.24,1.332,2.117,0.005,0.003,2517.0,4477.0,1.0
"b_z[Africa, 2021, pos]",1.967,0.325,1.443,2.516,0.005,0.004,3719.0,4938.0,1.0
"b_z[Africa, 2022, pre]",0.01,1.019,-1.629,1.701,0.007,0.013,19273.0,6039.0,1.0
"b_z[Africa, 2022, pan]",0.014,0.994,-1.538,1.713,0.007,0.014,18991.0,5510.0,1.0
"b_z[Africa, 2022, pos]",-0.705,0.482,-1.541,0.045,0.005,0.004,9544.0,6247.0,1.0
"b_z[Africa, 2023, pre]",-0.003,0.994,-1.497,1.774,0.008,0.014,17371.0,5376.0,1.0
"b_z[Africa, 2023, pan]",0.005,1.001,-1.702,1.574,0.007,0.013,17817.0,5296.0,1.0
"b_z[Africa, 2023, pos]",-0.139,0.567,-1.032,0.814,0.005,0.007,12388.0,5503.0,1.0
"b_z[Southern America, 2017, pre]",0.312,0.226,-0.053,0.688,0.004,0.003,4056.0,4976.0,1.0
"b_z[Southern America, 2017, pan]",0.008,0.989,-1.674,1.578,0.008,0.015,17321.0,5296.0,1.0
"b_z[Southern America, 2017, pos]",-0.005,1.002,-1.602,1.694,0.008,0.013,16187.0,5703.0,1.0
"b_z[Southern America, 2018, pre]",-0.466,0.44,-1.178,0.264,0.005,0.004,8701.0,6361.0,1.0
"b_z[Southern America, 2018, pan]",-0.0,0.99,-1.629,1.616,0.008,0.013,16397.0,5901.0,1.0
"b_z[Southern America, 2018, pos]",0.007,0.968,-1.607,1.511,0.008,0.013,16068.0,5423.0,1.0
"b_z[Southern America, 2019, pre]",0.059,0.276,-0.399,0.495,0.003,0.003,6653.0,4943.0,1.0
"b_z[Southern America, 2019, pan]",-0.01,0.99,-1.557,1.698,0.007,0.013,18320.0,5503.0,1.0
"b_z[Southern America, 2019, pos]",0.007,0.999,-1.589,1.698,0.007,0.013,18629.0,6331.0,1.0
"b_z[Southern America, 2020, pre]",-0.918,0.408,-1.603,-0.276,0.005,0.004,6653.0,5371.0,1.0
"b_z[Southern America, 2020, pan]",-0.629,0.226,-1.018,-0.281,0.004,0.003,3697.0,5467.0,1.0
"b_z[Southern America, 2020, pos]",-0.011,1.024,-1.574,1.768,0.008,0.014,18511.0,5549.0,1.0
"b_z[Southern America, 2021, pre]",-0.015,1.003,-1.586,1.68,0.008,0.013,16234.0,6058.0,1.0
"b_z[Southern America, 2021, pan]",-0.223,0.283,-0.676,0.253,0.004,0.003,5974.0,6329.0,1.0
"b_z[Southern America, 2021, pos]",-0.94,0.312,-1.431,-0.409,0.004,0.003,5330.0,6000.0,1.0
"b_z[Southern America, 2022, pre]",-0.011,0.996,-1.552,1.723,0.008,0.013,16506.0,5255.0,1.0
"b_z[Southern America, 2022, pan]",0.009,1.006,-1.645,1.687,0.007,0.013,20563.0,5898.0,1.0
"b_z[Southern America, 2022, pos]",-2.029,0.304,-2.521,-1.529,0.006,0.004,2895.0,4681.0,1.0
"b_z[Southern America, 2023, pre]",0.005,0.999,-1.578,1.692,0.008,0.013,17280.0,5402.0,1.0
"b_z[Southern America, 2023, pan]",-0.01,0.993,-1.696,1.557,0.007,0.014,19341.0,5099.0,1.0
"b_z[Southern America, 2023, pos]",-3.409,0.66,-4.507,-2.353,0.007,0.005,10028.0,6105.0,1.0
c_l,0.486,0.059,0.393,0.586,0.002,0.001,1490.0,2655.0,1.0
"c_z[Oceania, 2017, pre]",0.202,0.334,-0.339,0.754,0.004,0.003,8165.0,6397.0,1.0
"c_z[Oceania, 2017, pan]",0.017,0.994,-1.662,1.591,0.007,0.013,19290.0,5642.0,1.0
"c_z[Oceania, 2017, pos]",0.001,1.017,-1.654,1.65,0.008,0.014,18159.0,5249.0,1.0
"c_z[Oceania, 2018, pre]",0.539,0.398,-0.078,1.233,0.005,0.003,7563.0,5837.0,1.0
