"virus","tree_id","season","tmrca"
"by",21,"S_Hemisphere_2020.5",2016.61890843931
"by",21,"N_Hemisphere_2019",2016.21939195006
"by",21,"S_Hemisphere_2016.5",2006.74453516263
"by",21,"N_Hemisphere_2020",2016.61890843931
"by",21,"S_Hemisphere_2017.5",2014.22729414564
"by",21,"N_Hemisphere_2018",2014.22729414564
"by",21,"S_Hemisphere_2018.5",2014.22729414564
"by",22,"N_Hemisphere_2012",2006.6058816494
"by",22,"N_Hemisphere_2013",2006.6058816494
"by",22,"N_Hemisphere_2011",2006.6058816494
"by",22,"N_Hemisphere_2014",2006.6058816494
"by",22,"N_Hemisphere_2015",2006.6058816494
"by",22,"S_Hemisphere_2012.5",2006.6058816494
"by",22,"S_Hemisphere_2013.5",2006.6058816494
"by",22,"S_Hemisphere_2014.5",2006.6058816494
"by",22,"N_Hemisphere_2016",2011.88452898697
"by",22,"N_Hemisphere_2017",2011.88452898697
"by",22,"S_Hemisphere_2011.5",2006.6058816494
"by",22,"S_Hemisphere_2019.5",2016.66183552247
"by",22,"S_Hemisphere_2015.5",2011.88452898697
"by",22,"S_Hemisphere_2020.5",2016.66183552247
"by",22,"N_Hemisphere_2019",2015.71014365174
"by",22,"S_Hemisphere_2016.5",2006.6058816494
"by",22,"N_Hemisphere_2020",2016.66183552247
"by",22,"S_Hemisphere_2017.5",2013.99742751004
"by",22,"N_Hemisphere_2018",2013.99742751004
"by",22,"S_Hemisphere_2018.5",2013.99742751004
"by",23,"N_Hemisphere_2012",2006.93575722473
"by",23,"N_Hemisphere_2013",2006.93575722473
"by",23,"N_Hemisphere_2011",2006.93575722473
"by",23,"N_Hemisphere_2014",2006.93575722473
"by",23,"N_Hemisphere_2015",2006.93575722473
"by",23,"S_Hemisphere_2012.5",2006.93575722473
"by",23,"S_Hemisphere_2013.5",2006.93575722473
"by",23,"S_Hemisphere_2014.5",2006.93575722473
"by",23,"N_Hemisphere_2016",2012.08604538401
"by",23,"N_Hemisphere_2017",2012.08604538401
"by",23,"S_Hemisphere_2011.5",2006.93575722473
"by",23,"S_Hemisphere_2019.5",2016.64804823008
"by",23,"S_Hemisphere_2015.5",2012.08604538401
"by",23,"S_Hemisphere_2020.5",2016.64804823008
"by",23,"N_Hemisphere_2019",2015.94047907789
"by",23,"S_Hemisphere_2016.5",2006.93575722473
"by",23,"N_Hemisphere_2020",2016.64804823008
"by",23,"S_Hemisphere_2017.5",2014.09171505983
"by",23,"N_Hemisphere_2018",2014.09171505983
"by",23,"S_Hemisphere_2018.5",2014.36691873725
"by",24,"N_Hemisphere_2012",2006.70433705243
"by",24,"N_Hemisphere_2013",2006.70433705243
"by",24,"N_Hemisphere_2011",2006.70433705243
"by",24,"N_Hemisphere_2014",2006.70433705243
"by",24,"N_Hemisphere_2015",2006.70433705243
"by",24,"S_Hemisphere_2012.5",2006.70433705243
"by",24,"S_Hemisphere_2013.5",2006.70433705243
"by",24,"S_Hemisphere_2014.5",2006.70433705243
"by",24,"N_Hemisphere_2016",2011.90805177721
"by",24,"N_Hemisphere_2017",2011.90805177721
"by",24,"S_Hemisphere_2011.5",2006.70433705243
"by",24,"S_Hemisphere_2019.5",2016.61621801399
"by",24,"S_Hemisphere_2015.5",2011.90805177721
"by",24,"S_Hemisphere_2020.5",2016.61621801399
"by",24,"N_Hemisphere_2019",2015.8935521261
"by",24,"S_Hemisphere_2016.5",2006.70433705243
"by",24,"N_Hemisphere_2020",2016.61621801399
"by",24,"S_Hemisphere_2017.5",2013.98361551176
"by",24,"N_Hemisphere_2018",2013.98361551176
"by",24,"S_Hemisphere_2018.5",2013.98361551176
"by",25,"N_Hemisphere_2012",2005.20672366604
"by",25,"N_Hemisphere_2013",2005.20672366604
"by",25,"N_Hemisphere_2011",2005.20672366604
"by",25,"N_Hemisphere_2014",2005.20672366604
"by",25,"N_Hemisphere_2015",2005.20672366604
"by",25,"S_Hemisphere_2012.5",2005.20672366604
"by",25,"S_Hemisphere_2013.5",2005.20672366604
"by",25,"S_Hemisphere_2014.5",2005.20672366604
"by",25,"N_Hemisphere_2016",2012.06698137156
"by",25,"N_Hemisphere_2017",2012.06698137156
"by",25,"S_Hemisphere_2011.5",2005.20672366604
"by",25,"S_Hemisphere_2019.5",2016.45912755815
"by",25,"S_Hemisphere_2015.5",2012.06698137156
"by",25,"S_Hemisphere_2020.5",2016.45912755815
"by",25,"N_Hemisphere_2019",2016.00185476929
"by",25,"S_Hemisphere_2016.5",2005.20672366604
"by",25,"N_Hemisphere_2020",2016.45912755815
"by",25,"S_Hemisphere_2017.5",2013.94137057256
"by",25,"N_Hemisphere_2018",2013.94137057256
"by",25,"S_Hemisphere_2018.5",2013.94137057256
"by",26,"N_Hemisphere_2012",2005.93803006642
"by",26,"N_Hemisphere_2013",2005.93803006642
"by",26,"N_Hemisphere_2011",2005.93803006642
"by",26,"N_Hemisphere_2014",2005.93803006642
"by",26,"N_Hemisphere_2015",2005.93803006642
"by",26,"S_Hemisphere_2012.5",2005.93803006642
"by",26,"S_Hemisphere_2013.5",2005.93803006642
"by",26,"S_Hemisphere_2014.5",2005.93803006642
"by",26,"N_Hemisphere_2016",2012.25015202194
"by",26,"N_Hemisphere_2017",2012.25015202194
"by",26,"S_Hemisphere_2011.5",2005.93803006642
"by",26,"S_Hemisphere_2019.5",2016.53147693865
"by",26,"S_Hemisphere_2015.5",2012.25015202194
"by",26,"S_Hemisphere_2020.5",2016.54622869904
"by",26,"N_Hemisphere_2019",2016.21496702699
